Date,Close,High,Low,Open,Volume
2011-11-11,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-11-14,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-11-15,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-11-16,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-11-17,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-11-18,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-11-21,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,500
2011-11-22,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,0
2011-11-23,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,0
2011-11-25,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,0
2011-11-28,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,0
2011-11-29,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,0
2011-11-30,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,0
2011-12-01,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,0
2011-12-02,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,0
2011-12-05,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,0
2011-12-06,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,0
2011-12-07,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,0
2011-12-08,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,0
2011-12-09,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,0
2011-12-12,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,0
2011-12-13,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,0
2011-12-14,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,0
2011-12-15,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,0
2011-12-16,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,0
2011-12-19,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,0
2011-12-20,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,0
2011-12-21,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,0
2011-12-22,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,0
2011-12-23,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,0
2011-12-27,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,3.19894507178185e+33,0
2011-12-28,-6.413252437852465e+32,-6.413252437852465e+32,-6.413252437852465e+32,-6.413252437852465e+32,0
2011-12-29,-6.413252437852465e+32,-6.413252437852465e+32,-6.413252437852465e+32,-6.413252437852465e+32,0
2011-12-30,-6.413252437852465e+32,-6.413252437852465e+32,-6.413252437852465e+32,-6.413252437852465e+32,0
2012-01-03,-6.413252437852465e+32,-6.413252437852465e+32,-6.413252437852465e+32,-6.413252437852465e+32,0
2012-01-04,-6.413252437852465e+32,-6.413252437852465e+32,-6.413252437852465e+32,-6.413252437852465e+32,0
2012-01-05,-6.413252437852465e+32,-6.413252437852465e+32,-6.413252437852465e+32,-6.413252437852465e+32,0
2012-01-06,-6.413252437852465e+32,-6.413252437852465e+32,-6.413252437852465e+32,-6.413252437852465e+32,0
2012-01-09,-6.413252437852465e+32,-6.413252437852465e+32,-6.413252437852465e+32,-6.413252437852465e+32,0
2012-01-10,-6.413252437852465e+32,-6.413252437852465e+32,-6.413252437852465e+32,-6.413252437852465e+32,0
2012-01-11,-6.413252437852465e+32,-6.413252437852465e+32,-6.413252437852465e+32,-6.413252437852465e+32,0
2012-01-12,-6.413252437852465e+32,-6.413252437852465e+32,-6.413252437852465e+32,-6.413252437852465e+32,0
2012-01-13,-6.413252437852465e+32,-6.413252437852465e+32,-6.413252437852465e+32,-6.413252437852465e+32,0
2012-01-17,-6.413252437852465e+32,-6.413252437852465e+32,-6.413252437852465e+32,-6.413252437852465e+32,0
2012-01-18,-6.966249924807801e+32,-6.966249924807801e+32,-6.966249924807801e+32,-6.966249924807801e+32,150
2012-01-19,-6.966249924807801e+32,-6.966249924807801e+32,-6.966249924807801e+32,-6.966249924807801e+32,0
2012-01-20,-6.966249924807801e+32,-6.966249924807801e+32,-6.966249924807801e+32,-6.966249924807801e+32,0
2012-01-23,-6.966249924807801e+32,-6.966249924807801e+32,-6.966249924807801e+32,-6.966249924807801e+32,0
2012-01-24,-6.966249924807801e+32,-6.966249924807801e+32,-6.966249924807801e+32,-6.966249924807801e+32,0
2012-01-25,-6.966249924807801e+32,-6.966249924807801e+32,-6.966249924807801e+32,-6.966249924807801e+32,0
2012-01-26,-6.966249924807801e+32,-6.966249924807801e+32,-6.966249924807801e+32,-6.966249924807801e+32,0
2012-01-27,-6.966249924807801e+32,-6.966249924807801e+32,-6.966249924807801e+32,-6.966249924807801e+32,0
2012-01-30,-6.966249924807801e+32,-6.966249924807801e+32,-6.966249924807801e+32,-6.966249924807801e+32,0
2012-01-31,-6.966249924807801e+32,-6.966249924807801e+32,-6.966249924807801e+32,-6.966249924807801e+32,0
2012-02-01,-6.966249924807801e+32,-6.966249924807801e+32,-6.966249924807801e+32,-6.966249924807801e+32,0
2012-02-02,-6.966249924807801e+32,-6.966249924807801e+32,-6.966249924807801e+32,-6.966249924807801e+32,0
2012-02-03,-6.966249924807801e+32,-6.966249924807801e+32,-6.966249924807801e+32,-6.966249924807801e+32,0
2012-02-06,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,900
2012-02-07,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,0
2012-02-08,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,0
2012-02-09,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,0
2012-02-10,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,0
2012-02-13,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,0
2012-02-14,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,0
2012-02-15,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,0
2012-02-16,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,0
2012-02-17,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,0
2012-02-21,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,0
2012-02-22,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,0
2012-02-23,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,0
2012-02-24,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,0
2012-02-27,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,0
2012-02-28,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,0
2012-02-29,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,0
2012-03-01,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,0
2012-03-02,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,-7.411718779382023e+32,0
